Timestamp,Compound Score,Date,Negative Score,Neutral Score,Positive Score,Source Account,Text
2018-04-05 13:13:07,-0.1531,Thu Apr 05 13:13:07 +0000 2018,0.124,0.775,0.101,BBCNews,"RT @BBCBreaking: Yulia Skripal, poisoned by nerve agent in UK, says she is getting stronger 'daily' after waking up a week ago
https://t.co…"
2018-04-05 13:24:17,-0.7783,Thu Apr 05 13:24:17 +0000 2018,0.245,0.755,0.0,BBCNews,RT @BBCEngland: A teenager stabbed to death in Hackney has been identified as an 18-year-old named Israel. More than 50 people have been ki…
2018-04-05 13:39:21,-0.594,Thu Apr 05 13:39:21 +0000 2018,0.204,0.796,0.0,BBCNews,"RT @BBCBusiness: Is your fridge or freezer a fire risk? Consumer watchdog Which? has called for plastic-backed fridges to be ""urgently"" rem…"
2018-04-05 13:42:38,0.0,Thu Apr 05 13:42:38 +0000 2018,0.0,1.0,0.0,BBCNews,Women in NHS paid 23% less than men https://t.co/wT5nCmNPuo
2018-04-05 13:43:22,0.0,Thu Apr 05 13:43:22 +0000 2018,0.0,1.0,0.0,BBCNews,"RT @bbcweather: Tomorrow: breezy and cloudy with rain across N &amp; W areas, some heavy in Scotland but mostly light further S. Staying dry in…"
2018-04-05 13:46:49,0.0,Thu Apr 05 13:46:49 +0000 2018,0.0,1.0,0.0,BBCNews,RT @BBCTech: Superfast 5G mobiles are a step closer https://t.co/9j1g2prG5N
2018-04-05 13:50:27,0.4215,Thu Apr 05 13:50:27 +0000 2018,0.0,0.872,0.128,BBCNews,"Russian ambassador to the UK says he hopes to personally meet Yulia Skripal's cousin Viktoria, should she travel to… https://t.co/UNzO97lT3k"
2018-04-05 14:14:55,0.0,Thu Apr 05 14:14:55 +0000 2018,0.0,1.0,0.0,BBCNews,Labour member 'sorry' over Holocaust Facebook post https://t.co/LHJyNOViQR
2018-04-05 14:20:32,0.0,Thu Apr 05 14:20:32 +0000 2018,0.0,1.0,0.0,BBCNews,Plastic bag litter falls in UK seas https://t.co/Z2T55ityuv
2018-04-05 14:32:00,-0.7906,Thu Apr 05 14:32:00 +0000 2018,0.28,0.72,0.0,BBCNews,"""I have a teenager and I'm scared for him"" - MP for Tottenham @DavidLammy on violence in London following recent sp… https://t.co/VOyZkBy3Bu"
